Model,KS Statistic Acceleration,Earth Mover Distance Acceleration,DTW Acceleration,KL Divergence Acceleration,KS Statistic Speed,Earth Mover Distance Speed,DTW Speed,KL Divergence Speed,KS Statistic Position,Earth Mover Distance Position,DTW Position,KL Divergence Position
CNN,0.16712079927338783,0.8950091037563802,1806.8140106283793,0.1323736374549674,0.4032697547683924,2.0051593467523223,4527.51049416227,0.8312404972943535,0.08083560399636694,38.61389612007069,15534.405170851638,0.0386338819551901
LSTM,0.2779291553133515,2.391803377772077,3260.7746161129817,0.5987401096192716,0.3787465940054496,1.9059287574400172,5871.676936615313,0.7955996442285422,0.05812897366030881,23.911962332513212,15542.249295500038,0.02254174831854548
Transformer,0.19981834695731154,0.48695988783513394,864.18264194195,0.3412559920867794,0.39509536784741145,5.718684646948597,3214.724072665392,0.8067130148259241,0.3215258855585831,279.9471127051224,140680.84514559744,0.25745032030711257
LGBM,0.16984559491371481,0.4342533357644175,1157.876867286499,0.293742993068071,0.5749318801089919,5.061138338896001,3995.1327192451645,0.9261352684122048,0.09627611262488647,129.42407411425953,39650.31942281405,0.044927933285883036
XGboost,0.16167120799273388,0.3770030261789592,956.648769171081,0.2800435355603995,0.2506811989100817,3.3877166143914588,2200.4630181450802,0.5147136970001659,0.16257947320617622,156.39141821667533,42327.36569671186,0.05069592206068053
Feedforward_NN,0.3278837420526794,0.41406370968002204,932.1373253915361,0.3316125105121683,0.5122615803814714,3.5958004789587164,3498.3883155016106,1.1097674631553263,0.0653950953678474,83.38645250650265,30892.76051100769,0.03629796761246411
SVM,0.4695731153496821,0.5422945201131054,975.7090051581936,0.6947231128326458,0.6385104450499546,9.251914714666558,3959.0468713547816,1.8219916532363536,0.5313351498637602,372.040027594736,279091.4732317794,0.6289999821730551
RF,0.11353315168029064,0.1859053388841992,1039.3033533620946,0.08044533679936919,0.37420526793823794,4.689019667296756,3665.3974886515357,0.8240875730720594,0.21435059037238874,203.34376092441966,73877.70514391472,0.12519360103570673
IDM,0.23978201634877383,0.40120814392585014,941.7641168717682,0.27224451591147536,0.6103542234332425,8.827070751120813,5508.4900992495195,3.7972304579153673,0.42779291553133514,347.8201859391601,223456.42481441228,0.537629053880198
ACC,0.18165304268846502,0.3456588775737511,1197.3971611476647,0.17224012101434713,0.3106267029972752,3.9180060949872315,2453.4316219623793,0.7005551709901628,0.15258855585831063,141.4493680691167,51181.24136215633,0.09016261340873005
